Author,party,political_side
RTErdogan,AKP,right
NumanKurtulmus,AKP,right
suleymansoylu,AKP,right
BY,AKP,right
eczozgurozel,CHP,left
mansuryavas06,CHP,left
kilicdarogluk,CHP,left
vekilince,CHP,left
dbdevletbahceli,MHP,right
YildizFeti,MHP,right
ifarukaksu,MHP,right
E_SemihYalcin,MHP,right
meral_aksener,IYI,right
korayaydintr,IYI,right
Akburak,IYI,right
UmitDikbayir,IYI,right
hdpdemirtas,DEM,left
PervinBuldan,DEM,left
tuncerbakirhan,DEM,left
TulayHatimo,DEM,left
umitozdag,ZAFER,right
SevdaGulTuncer,ZAFER,right
AzmiKaramahmut,ZAFER,right
CemDikmenVP,ZAFER,right
erkbas,TIP,left
CanAtalay1,TIP,left
barisatay,TIP,left
serakadigil,TIP,left
